rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
833,Koyomimonogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21520-nZKCr7PZrv7e.png,https://anilist.co/anime/21520/Koyomimonogatari/,"['Comedy', 'Mystery', 'Supernatural']",75,34512,ONA,12,Winter 2016,Finished,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
834,One Punch Man OVA,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/21416-6r2XnS5vU6IP.jpg,https://anilist.co/anime/21416/One-Punch-Man-OVA/,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",75,28854,OVA,6,Winter 2015,Finished,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
835,Kekkai Sensen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20727-r0ooW0NB1aYH.png,https://anilist.co/anime/20727/Kekkai-Sensen/,"['Action', 'Comedy', 'Supernatural']",75,79790,TV Show,12,Spring 2015,Finished,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
836,Bokura wa Minna Kawaisou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20529-WyK2k8mF9wIQ.png,https://anilist.co/anime/20529/Bokura-wa-Minna-Kawaisou/,"['Comedy', 'Romance', 'Slice of Life']",75,36656,TV Show,12,Spring 2014,Finished,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
837,Yama no Susume: Second Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20485-3Q2Uu6nmdUD9.jpg,https://anilist.co/anime/20485/Yama-no-Susume-Second-Season/,"['Adventure', 'Comedy', 'Slice of Life']",75,6622,TV Short,24,Summer 2014,Finished,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
838,Little Busters! EX,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/20481.jpg,https://anilist.co/anime/20481/Little-Busters-EX/,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural']",75,7487,Special,8,Winter 2014,Finished,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
839,Golden Time,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17895-nRpWbggDlXXB.jpg,https://anilist.co/anime/17895/Golden-Time/,"['Comedy', 'Drama', 'Romance']",75,79275,TV Show,24,Fall 2013,Finished,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
840,Gintama: Dai Hanseikai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/10643.jpg,https://anilist.co/anime/10643/Gintama-Dai-Hanseikai/,"['Action', 'Comedy']",75,4125,Special,1,Spring 2010,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
841,Meitantei Conan: Senritsu no Gakufu (Full Score),https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b4447-eBKdhcP0SiDY.png,https://anilist.co/anime/4447/Meitantei-Conan-Senritsu-no-Gakufu-Full-Score/,['Mystery'],75,4299,Movie,1,Spring 2008,Finished,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
842,Final Fantasy VII: Advent Children Complete,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2952-9uRKqLWuET33.png,https://anilist.co/anime/2952/Final-Fantasy-VII-Advent-Children-Complete/,"['Action', 'Fantasy']",75,8950,Movie,2,Spring 2009,Finished,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
