id,title,main_picture,ranking,popularity,start_date,related_anime,related_manga,mean,genres,scoring_users,media_type,serialization,list_users,Genres,Action,Adventure,Fantasy,Psychological,Supernatural,Military,Demons,Drama,Horror,Seinen,Historical,Mystery,Shounen,Comedy,Super Power,Samurai,Slice of Life,Sports,School,Romance,Vampire,Sci-Fi,Ecchi,Game,Shoujo,Space,Thriller,Parody,Magic,Music,Shoujo Ai,Mecha,Josei,Shounen Ai,Gender Bender,Harem,Martial Arts,Kids,Police,Dementia,Cars
11327,One Outs,https://api-cdn.myanimelist.net/images/manga/3/169329.jpg,81,500,1998-11-14,[],[],8.59,"[{'id': 30, 'name': 'Sports'}, {'id': 40, 'name': 'Psychological'}, {'id': 41, 'name': 'Seinen'}]",7831,manga,"[{'node': {'id': 57, 'name': 'Business Jump'}}]",20419,"['Sports', 'Psychological', 'Seinen']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119072,Here U Are,https://api-cdn.myanimelist.net/images/manga/1/226061.jpg,82,1835,2017-11-22,[],[],8.59,"[{'id': 23, 'name': 'School'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 8, 'name': 'Drama'}, {'id': 28, 'name': 'Shounen Ai'}]",2937,manhua,[],6579,"['School', 'Slice of Life', 'Drama', 'Shounen Ai']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3083,Suzumiya Haruhi Series,https://api-cdn.myanimelist.net/images/manga/1/186142.jpg,83,341,2003-06-06,[],"[{'node': {'id': 1345, 'title': 'Suzumiya Haruhi no Yuuutsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/186141.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/186141l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 1253, 'title': 'Suzumiya Haruhi no Yuuutsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/52561.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/52561l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 10809, 'title': 'Suzumiya Haruhi-chan no Yuuutsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/52663.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/52663l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 13544, 'title': 'Nagato Yuki-chan no Shoushitsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/153402.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/153402l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 35137, 'title': 'Haruhi Comic Anthology: Kyon to Koizumi no Sainan', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/105811.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/105811l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 48727, 'title': 'Suzumiya Haruhi no Hiwa: Rainy Day', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/191442.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/191442l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 61621, 'title': 'Ore no Class ni Haruhi wa Inai', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/106203.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/106203l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}, {'node': {'id': 69957, 'title': 'Suzumiya Haruhi Series: Atezuppo Numbers', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/123311.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/123311l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}, {'node': {'id': 84435, 'title': 'Haruhi Comic Anthology', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/147767.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/147767l.jpg'}}, 'relation_type': 'other', 'relation_type_formatted': 'Other'}]",8.58,"[{'id': 37, 'name': 'Supernatural'}, {'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 8, 'name': 'Drama'}]",9383,novel,"[{'node': {'id': 329, 'name': 'The Sneaker'}}]",29130,"['Supernatural', 'Comedy', 'School', 'Sci-Fi', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,Ginga Eiyuu Densetsu,https://api-cdn.myanimelist.net/images/manga/5/155231.jpg,84,2270,1982-11,[],"[{'node': {'id': 11941, 'title': 'Ginga Eiyuu Densetsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/4/40341.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/4/40341l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 93287, 'title': 'Ginga Eiyuu Densetsu', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/173521.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/173521l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 102775, 'title': 'Ginga Eiyuu Densetsu Gaiden', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/186216.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/186216l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",8.58,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",1309,novel,[],5445,"['Action', 'Adventure', 'Drama', 'Military', 'Sci-Fi', 'Space']",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28393,Sakamichi no Apollon,https://api-cdn.myanimelist.net/images/manga/3/62627.jpg,85,492,2007-09-28,[],"[{'node': {'id': 47022, 'title': 'Sakamichi no Apollon: Bonus Track', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/82944.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/82944l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",8.58,"[{'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 19, 'name': 'Music'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 8, 'name': 'Drama'}, {'id': 42, 'name': 'Josei'}]",8060,manga,"[{'node': {'id': 121, 'name': 'Flowers (Monthly)'}}]",20759,"['Romance', 'School', 'Music', 'Slice of Life', 'Drama', 'Josei']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
46282,Chikan Otoko,https://api-cdn.myanimelist.net/images/manga/4/155148.jpg,86,253,2004,[],[],8.58,"[{'id': 22, 'name': 'Romance'}, {'id': 4, 'name': 'Comedy'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 8, 'name': 'Drama'}]",18700,manga,[],36291,"['Romance', 'Comedy', 'Slice of Life', 'Drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48399,No Game No Life,https://api-cdn.myanimelist.net/images/manga/2/188186.jpg,87,199,2012-04-25,[],"[{'node': {'id': 48397, 'title': 'No Game No Life', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/2/209665.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/2/209665l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 89961, 'title': 'No Game No Life, desu!', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/3/171257.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/3/171257l.jpg'}}, 'relation_type': 'spin_off', 'relation_type_formatted': 'Spin-off'}, {'node': {'id': 103268, 'title': 'No Game No Life: Practical War Game', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/187957.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/187957l.jpg'}}, 'relation_type': 'side_story', 'relation_type_formatted': 'Side story'}]",8.58,"[{'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 11, 'name': 'Game'}, {'id': 37, 'name': 'Supernatural'}, {'id': 4, 'name': 'Comedy'}]",11223,novel,[],43818,"['Ecchi', 'Fantasy', 'Game', 'Supernatural', 'Comedy']",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,Baccano!,https://api-cdn.myanimelist.net/images/manga/2/172736.jpg,88,804,2003-02-10,[],"[{'node': {'id': 10814, 'title': 'Baccano! 1931 The Grand Punk Railroad', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/4/84135.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/4/84135l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}, {'node': {'id': 92203, 'title': 'Baccano!', 'main_picture': {'medium': 'https://api-cdn.myanimelist.net/images/manga/1/172600.jpg', 'large': 'https://api-cdn.myanimelist.net/images/manga/1/172600l.jpg'}}, 'relation_type': 'alternative_version', 'relation_type_formatted': 'Alternative version'}]",8.57,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 7, 'name': 'Mystery'}]",1935,novel,[],13808,"['Action', 'Fantasy', 'Mystery']",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125036,The Horizon,https://api-cdn.myanimelist.net/images/manga/1/229331.jpg,89,3816,2016-03-30,[],[],8.57,"[{'id': 2, 'name': 'Adventure'}, {'id': 40, 'name': 'Psychological'}, {'id': 8, 'name': 'Drama'}]",1115,manhwa,"[{'node': {'id': 1515, 'name': 'Comica'}}]",3222,"['Adventure', 'Psychological', 'Drama']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11514,Otoyomegatari,https://api-cdn.myanimelist.net/images/manga/2/188950.jpg,90,194,2008-10-14,[],[],8.56,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 22, 'name': 'Romance'}, {'id': 41, 'name': 'Seinen'}]",11535,manga,"[{'node': {'id': 953, 'name': 'Harta'}}]",44359,"['Drama', 'Historical', 'Romance', 'Seinen']",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
